O_F,Pc,T_c,rho_c,Cp_c,gamma_c,a_c,mu_c,k_c,Pr_c,Cstar,CF,Isp
2.75,965266.4,2313.17,1.0507,1991.1,1.2553,1073.9,8.8223e-05,0.47145,0.3726,1451.6,0.6987,1014.2
2.75,1110056.36,2313.85,1.208,1984.2,1.256,1074.3,8.8239e-05,0.46649,0.3753,1451.6,0.6988,1014.3
2.75,1254846.32,2314.42,1.3653,1978.6,1.2566,1074.7,8.8253e-05,0.46239,0.3776,1451.6,0.6989,1014.5
2.75,1399636.28,2314.9,1.5226,1973.8,1.2571,1075,8.8264e-05,0.45892,0.3796,1451.6,0.6989,1014.6
2.75,1544426.24,2315.31,1.6799,1969.8,1.2575,1075.2,8.8274e-05,0.45594,0.3814,1451.6,0.699,1014.6
2.75,1689216.2,2315.67,1.8372,1966.2,1.2578,1075.4,8.8283e-05,0.45335,0.3829,1451.6,0.699,1014.7
2.75,1834006.16,2315.99,1.9944,1963.1,1.2582,1075.6,8.829e-05,0.45106,0.3843,1451.6,0.6991,1014.8
2.75,1978796.12,2316.27,2.1517,1960.3,1.2585,1075.8,8.8297e-05,0.44902,0.3855,1451.6,0.6991,1014.8
2.75,2123586.08,2316.53,2.3089,1957.7,1.2587,1076,8.8303e-05,0.44718,0.3866,1451.6,0.6992,1014.9
2.75,2268376.04,2316.76,2.4661,1955.5,1.2589,1076.1,8.8309e-05,0.44553,0.3876,1451.6,0.6992,1014.9
2.75,2413166,2316.97,2.6233,1953.4,1.2592,1076.2,8.8314e-05,0.44402,0.3885,1451.5,0.6992,1015
2.75,2557955.96,2317.16,2.7806,1951.5,1.2594,1076.4,8.8318e-05,0.44264,0.3894,1451.5,0.6993,1015
2.75,2702745.92,2317.34,2.9378,1949.8,1.2595,1076.5,8.8323e-05,0.44137,0.3902,1451.5,0.6993,1015
2.75,2847535.88,2317.5,3.095,1948.2,1.2597,1076.6,8.8326e-05,0.44019,0.3909,1451.5,0.6993,1015.1
2.75,2992325.84,2317.65,3.2522,1946.7,1.2599,1076.7,8.833e-05,0.4391,0.3916,1451.5,0.6993,1015.1
2.75,3137115.8,2317.79,3.4094,1945.3,1.26,1076.7,8.8333e-05,0.43808,0.3922,1451.5,0.6993,1015.1
2.75,3281905.76,2317.93,3.5666,1944,1.2601,1076.8,8.8337e-05,0.43714,0.3928,1451.5,0.6994,1015.2
2.75,3426695.72,2318.05,3.7238,1942.8,1.2603,1076.9,8.834e-05,0.43625,0.3934,1451.5,0.6994,1015.2
2.75,3571485.68,2318.17,3.881,1941.7,1.2604,1077,8.8342e-05,0.43541,0.394,1451.5,0.6994,1015.2
3,96526.64,2392.79,0.10467,2312.8,1.2216,1061.4,8.9338e-05,0.69217,0.2985,1465.8,0.6913,1013.3
3,241316.6,2408.26,0.26034,2164.4,1.2323,1068.7,8.9702e-05,0.59098,0.3285,1466,0.6935,1016.6
3,386106.56,2414.42,0.41571,2106.4,1.2369,1071.8,8.9847e-05,0.55103,0.3435,1466,0.6944,1017.9
3,530896.52,2418,0.57092,2073,1.2397,1073.7,8.9931e-05,0.52791,0.3531,1466,0.6949,1018.7
3,675686.48,2420.42,0.72605,2050.5,1.2416,1074.9,8.9988e-05,0.5123,0.3602,1466,0.6952,1019.2
3,820476.44,2422.2,0.88112,2034,1.2431,1075.9,9.003e-05,0.50083,0.3656,1466,0.6955,1019.5
3,965266.4,2423.59,1.0361,2021.2,1.2442,1076.6,9.0062e-05,0.49192,0.3701,1466,0.6957,1019.8
3,1110056.36,2424.71,1.1911,2010.9,1.2451,1077.2,9.0089e-05,0.48475,0.3737,1466,0.6958,1020.1
3,1254846.32,2425.64,1.3461,2002.4,1.2459,1077.7,9.011e-05,0.4788,0.3769,1466,0.696,1020.2
3,1399636.28,2426.42,1.501,1995.2,1.2466,1078.1,9.0129e-05,0.47377,0.3796,1466,0.6961,1020.4
3,1544426.24,2427.1,1.6559,1989,1.2471,1078.5,9.0145e-05,0.46944,0.3819,1466,0.6962,1020.5
